topic,cluster,med_freq,min_freq,max_freq,count_meas,count_proj,min_band,max_band,mode_band,width
0,-1,219.3525,84.08,468.97,412,171,3,8,4.990291262135922,384.89000000000004
0,0,690.895,681.345,694.52,11,3,9,9,9.0,13.174999999999955
0,1,814.835,805.96,823.67,8,2,10,10,10.0,17.709999999999923
0,2,130.825,128.64,133.12,5,3,4,4,4.0,4.480000000000018
0,3,853.2325000000001,850.245,856.215,8,2,10,10,10.0,5.970000000000027
0,4,869.2925,866.245,872.285,8,2,10,10,10.0,6.039999999999964
0,5,156.85,150.51,161.96,17,5,4,4,4.0,11.450000000000017
0,6,142.86,139.065,146.28,14,6,4,4,4.0,7.215000000000003
0,7,478.85,477.605,481.27,6,3,8,8,8.0,3.6649999999999636
0,8,491.755,489.585,493.26,25,10,8,8,8.0,3.6750000000000114
0,9,114.28999999999999,114.195,114.43,10,7,3,3,3.0,0.23500000000001364
0,10,106.0525,105.97,106.35,10,8,3,3,3.0,0.37999999999999545
0,11,105.47999999999999,105.455,105.715,6,6,3,3,3.0,0.2600000000000051
0,12,105.0,104.915,105.08,11,7,3,3,3.0,0.16499999999999204
0,13,104.7175,104.71,104.81,8,5,3,3,3.0,0.10000000000000853
0,14,95.7475,95.445,95.955,8,7,3,3,3.0,0.5100000000000051
0,15,317.05499999999995,315.235,319.605,10,4,7,7,7.0,4.3700000000000045
0,16,111.925,111.625,112.305,22,8,3,3,3.0,0.6800000000000068
0,17,370.96,369.92,371.005,5,2,7,7,7.0,1.0849999999999795
0,18,372.53,372.395,372.695,12,4,7,7,7.0,0.30000000000001137
0,19,290.61,288.14,295.01,17,7,7,7,7.0,6.8700000000000045
0,20,114.8725,114.825,114.95,12,8,3,3,3.0,0.125
0,21,114.705,114.6,114.77,15,8,3,3,3.0,0.1700000000000017
0,22,107.96,107.6,108.125,7,6,3,3,3.0,0.5250000000000057
0,23,107.015,106.845,107.325,9,6,3,3,3.0,0.480000000000004
0,24,309.875,309.825,309.91,6,1,7,7,7.0,0.08500000000003638
0,25,308.025,307.415,308.425,6,2,7,7,7.0,1.009999999999991
0,26,112.545,112.495,112.57,6,4,3,3,3.0,0.07499999999998863
0,27,223.785,223.485,223.91,6,3,6,6,6.0,0.42499999999998295
0,28,335.475,335.455,336.545,6,3,7,7,7.0,1.0900000000000318
0,29,113.50999999999999,113.435,113.56,10,6,3,3,3.0,0.125
0,30,97.025,97.02,97.15,6,6,3,3,3.0,0.13000000000000966
0,31,246.55,246.0,247.51,17,8,6,6,6.0,1.509999999999991
0,32,103.22,103.18,103.225,6,3,3,3,3.0,0.044999999999987494
0,33,102.6525,102.295,103.0,40,21,3,3,3.0,0.7049999999999983
0,34,101.245,101.09,101.365,10,7,3,3,3.0,0.2749999999999915
0,35,113.345,113.33,113.355,5,2,3,3,3.0,0.025000000000005684
0,36,96.37,96.34,96.41,5,4,3,3,3.0,0.06999999999999318
0,37,84.675,84.53,84.82,7,4,3,3,3.0,0.28999999999999204
0,38,256.21,255.545,256.475,5,3,6,6,6.0,0.9300000000000352
0,39,110.89,110.8,111.035,5,3,3,3,3.0,0.23499999999999943
0,40,99.255,99.135,99.395,14,13,3,3,3.0,0.2599999999999909
0,41,98.94,98.825,99.005,28,17,3,3,3.0,0.1799999999999926
0,42,97.6,97.58,97.605,6,4,3,3,3.0,0.025000000000005684
0,43,97.49,97.435,97.52,6,6,3,3,3.0,0.08499999999999375
0,44,93.9,93.67,94.0,8,8,3,3,3.0,0.3299999999999983
0,45,92.495,92.49,92.5,9,6,3,3,3.0,0.010000000000005116
0,46,91.995,91.92,92.2,13,10,3,3,3.0,0.28000000000000114
0,47,338.20000000000005,337.88,338.895,10,8,7,7,7.0,1.0149999999999864
0,48,332.54,331.835,332.8,7,5,7,7,7.0,0.9650000000000318
0,49,330.145,329.255,330.775,21,13,7,7,7.0,1.5199999999999818
0,50,113.05,112.99,113.085,13,7,3,3,3.0,0.09499999999999886
0,51,347.16,347.065,347.17,5,2,7,7,7.0,0.10500000000001819
0,52,360.365,360.16,360.395,8,2,7,7,7.0,0.2349999999999568
0,53,279.51,279.51,279.555,6,6,7,7,7.0,0.045000000000015916
0,54,278.87,278.34,278.88,5,4,7,7,7.0,0.5400000000000205
0,55,257.765,257.65,257.95,7,5,6,6,6.0,0.30000000000001137
0,56,250.5,250.2,250.52,5,4,6,6,6.0,0.3200000000000216
0,57,242.185,240.96,242.57,15,10,6,6,6.0,1.6099999999999852
0,58,239.12,238.3,240.59,9,5,6,6,6.0,2.289999999999992
0,59,234.98000000000002,234.805,235.055,6,4,6,6,6.0,0.25
0,60,112.9,112.825,112.96,14,9,3,3,3.0,0.1349999999999909
0,61,112.755,112.725,112.795,8,5,3,3,3.0,0.07000000000000739
0,62,98.1875,98.13,98.32,14,8,3,3,3.0,0.18999999999999773
0,63,339.79,339.26,340.2,11,8,7,7,7.0,0.9399999999999977
0,64,346.765,346.75,346.785,7,3,7,7,7.0,0.03500000000002501
0,65,346.89,346.87,346.94,8,4,7,7,7.0,0.06999999999999318
0,66,115.115,115.095,115.125,7,4,3,3,3.0,0.030000000000001137
0,67,113.27,113.235,113.275,11,5,3,3,3.0,0.04000000000000625
0,68,113.18,113.15,113.205,7,5,3,3,3.0,0.05499999999999261
0,69,109.0975,109.05,109.17,8,5,3,3,3.0,0.12000000000000455
0,70,98.47,98.38,98.52,18,13,3,3,3.0,0.14000000000000057
0,71,96.585,96.54,96.6,7,4,3,3,3.0,0.05999999999998806
0,72,259.015,258.81,259.065,8,4,6,6,6.0,0.25499999999999545
0,73,253.615,252.97,253.905,16,8,6,6,6.0,0.9350000000000023
0,74,115.265,115.25,115.275,7,5,3,3,3.0,0.025000000000005684
0,75,98.63,98.625,98.64,5,3,3,3,3.0,0.015000000000000568
0,76,98.575,98.57,98.605,8,4,3,3,3.0,0.0350000000000108
0,77,96.74,96.735,96.755,6,6,3,3,3.0,0.01999999999999602
0,78,96.66,96.65,96.705,9,4,3,3,3.0,0.05499999999999261
0,79,359.475,359.355,359.505,6,2,7,7,7.0,0.14999999999997726
0,80,261.14,260.905,261.17,5,4,6,6,6.0,0.2650000000000432
0,81,215.305,214.985,215.54,7,3,6,6,6.0,0.5549999999999784
0,82,115.215,115.215,115.23,13,8,3,3,3.0,0.015000000000000568
0,83,115.1675,115.15,115.205,20,11,3,3,3.0,0.05499999999999261
0,84,90.66,90.43,90.74,19,14,3,3,3.0,0.30999999999998806
0,85,89.19,89.185,89.23,15,11,3,3,3.0,0.045000000000001705
0,86,89.12,89.075,89.15,14,11,3,3,3.0,0.07500000000000284
0,87,356.44,356.245,356.745,13,8,7,7,7.0,0.5
0,88,93.1825,93.18,93.185,6,5,3,3,3.0,0.0049999999999954525
0,89,91.2,91.125,91.285,15,9,3,3,3.0,0.1599999999999966
0,90,90.98,90.93,90.985,6,6,3,3,3.0,0.05499999999999261
0,91,87.2375,87.1,87.4,18,13,3,3,3.0,0.30000000000001137
0,92,349.785,349.765,350.055,5,3,7,7,7.0,0.29000000000002046
0,93,351.59,350.505,352.155,16,10,7,7,7.0,1.6499999999999773
0,94,358.585,358.55,358.6,5,2,7,7,7.0,0.05000000000001137
0,95,358.765,358.73,358.96,12,4,7,7,7.0,0.22999999999996135
